Activity Type,Date,Favorite,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Walking,2021-08-14 14:33:10,False,1.51,127,00:35:49,80,108,0.1,36,160,23:45,9:18,3,3,1.17,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,No,12:07.32,2,0.0,00:00:00,00:44:29,50,57
Walking,2021-07-23 20:02:22,False,3.41,225,00:43:31,95,117,0.5,80,119,12:46,8:26,9,8,0.98,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,No,05:11.34,4,0.0,00:41:46,01:04:36,46,56
Walking,2021-07-18 20:18:14,False,3.43,233,00:46:27,79,102,0.3,68,124,13:33,7:40,8,9,1.08,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,No,05:32.29,4,0.0,00:44:13,01:02:18,43,52
Walking,2021-07-15 18:00:00,False,0.0,305,01:10:00,--,--,--,--,--,--,--,--,--,0.0,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,No,01:10:00.00,1,0.0,00:00:00,01:10:00,--,--
Walking,2021-06-23 14:50:22,False,2.96,234,00:47:37,93,114,0.5,75,160,16:04,7:58,53,43,0.84,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,No,14:59.61,3,0.0,00:40:11,00:47:37,70,124
Walking,2021-05-28 21:04:34,False,3.12,240,00:43:50,100,120,0.6,69,195,14:03,8:45,8,7,1.03,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,No,01:29.19,4,0.0,00:37:52,00:45:38,43,52
Walking,2021-05-27 20:21:45,False,3.3,240,00:45:01,102,126,0.7,79,200,13:39,6:52,16,13,0.93,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,No,03:54.86,4,0.0,00:41:23,00:55:19,46,56
Walking,2021-02-10 14:32:20,False,8.6,630,01:50:42,91,116,1.5,84,202,12:52,7:09,125,112,0.93,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,No,07:27.52,9,0.0,01:41:30,01:50:42,53,118
Walking,2021-01-18 14:11:47,False,5.11,365,01:16:11,94,117,0.3,83,175,14:55,8:43,39,35,0.81,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,No,01:23.70,6,0.0,01:13:45,01:16:11,42,56
Walking,2021-01-11 14:00:10,False,4.92,388,01:14:18,97,131,0.9,77,160,15:06,4:38,96,94,0.86,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,No,12:19.33,5,0.0,01:04:05,01:19:43,64,106
Walking,2020-12-29 11:56:27,False,9.41,713,02:23:15,87,118,0.9,75,203,15:13,10:09,140,118,0.87,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,No,07:20.83,10,0.0,01:56:36,02:43:54,64,104
Walking,2020-12-26 14:24:28,False,4.06,311,01:12:57,89,109,0.3,61,160,17:59,0:56,21,22,0.9,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,No,00:02.97,5,0.0,00:52:38,01:12:57,39,52
Walking,2020-12-20 15:59:15,False,4.04,236,00:48:48,82,112,0.4,76,190,12:06,1:08,19,21,1.23,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,No,00:02.88,5,0.0,00:42:59,00:48:48,39,52
Walking,2020-12-06 15:07:03,False,3.41,269,00:49:37,95,117,0.6,73,194,14:33,5:09,16,17,0.94,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,No,04:52.62,4,0.0,00:42:21,00:49:37,39,52
Walking,2020-10-03 16:17:24,False,3.17,229,00:47:30,91,106,0.5,72,179,15:01,9:42,3,2,0.94,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,No,05:30.01,4,0.0,00:41:36,00:47:30,49,52
Walking,2020-09-23 15:37:58,False,4.04,299,00:46:55,101,133,1.0,94,111,11:37,10:16,94,10,0.91,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,No,00:48.36,5,0.0,00:46:34,00:46:55,6,94
Walking,2020-09-23 12:17:21,False,10.22,770,02:27:02,99,125,1.3,79,228,14:23,9:33,251,339,0.89,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,No,04:13.07,11,0.0,02:12:20,02:27:02,--,123
Walking,2020-09-22 17:40:15,False,3.75,257,00:45:35,85,115,0.6,83,203,12:08,9:45,20,75,1.0,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,No,10:10.07,4,0.0,00:43:30,00:45:35,72,137
Walking,2020-09-22 15:43:46,False,4.0,274,00:45:46,96,111,0.8,89,158,11:26,9:12,76,40,0.98,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,No,00:08.48,5,0.0,00:45:00,00:45:46,91,136
Walking,2020-08-19 17:42:04,False,2.94,227,00:43:40,90,114,0.4,68,165,14:53,3:40,42,40,1.01,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,No,13:23.15,3,0.0,00:35:26,00:43:40,53,97
Walking,2020-08-18 13:30:02,False,4.14,289,01:08:15,81,107,0.2,66,179,16:29,10:34,23,51,0.94,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,No,00:19.29,6,0.0,01:02:51,01:08:15,28,77
