Activity Type,Date,Favorite,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2021-08-13 17:55:40,False,7.48,566,00:41:01,148,166,3.2,147,156,5:29,4:44,28,30,1.24,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,No,00:01.17,9,0.0,00:00:00,00:41:17,19,52
Running,2021-08-11 16:45:15,False,6.71,499,00:37:01,145,162,3.0,148,156,5:31,4:38,33,35,1.22,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,No,00:01.23,8,0.0,00:00:00,00:37:07,23,57
Running,2021-08-09 18:29:54,False,3.69,266,00:24:01,126,135,2.0,148,158,6:30,5:51,10,9,1.04,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,No,00:01.12,5,0.0,00:23:46,00:24:58,46,57
Running,2021-08-08 15:41:30,False,9.57,738,00:47:00,167,183,4.4,150,156,4:55,4:10,28,31,1.36,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,No,00:00.38,11,0.0,00:46:55,00:47:16,46,66
Running,2021-08-07 15:12:24,False,7.26,539,00:40:01,145,163,3.2,148,155,5:31,4:43,32,35,1.23,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,No,00:00.51,9,0.0,00:40:00,00:40:08,23,57
Running,2021-08-01 12:55:47,False,6.98,571,00:39:17,155,183,3.5,147,162,5:37,4:12,174,175,1.21,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,No,02:16.99,8,0.0,00:38:59,00:40:17,8,101
Running,2021-07-29 18:52:50,False,6.82,523,00:37:01,152,168,3.3,147,153,5:26,4:50,29,30,1.26,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,No,00:01.25,8,0.0,00:36:59,00:37:23,22,52
Running,2021-07-26 17:02:04,False,6.74,520,00:37:02,150,165,3.3,146,153,5:30,4:47,30,35,1.25,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,No,00:01.65,8,0.0,00:36:44,00:37:20,23,57
Running,2021-07-24 11:40:53,False,6.93,513,00:38:01,147,164,3.3,147,161,5:29,4:47,36,35,1.24,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,No,00:01.15,8,0.0,00:38:00,00:38:01,24,57
Running,2021-07-22 17:46:08,False,6.92,529,00:38:01,151,166,3.3,147,155,5:30,4:51,32,36,1.23,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,No,00:01.29,8,0.0,00:37:50,00:38:22,23,57
Running,2021-07-20 17:15:05,False,6.54,492,00:35:46,147,165,3.3,147,156,5:28,4:32,29,33,1.24,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,No,01:09.22,8,0.0,00:35:24,00:36:08,23,57
